Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15PoseHistoryPath8PoseInfoC2Ev","al::PoseHistoryPath::PoseInfo::PoseInfo(void)",false
"_ZN2al15PoseHistoryPath8PoseInfoC2ERKN4sead4QuatIfEERKNS2_7Vector3IfEEPKcf","al::PoseHistoryPath::PoseInfo::PoseInfo(sead::Quat<float> const&,sead::Vector3<float> const&,char const*,float)",false
"_ZN2al15PoseHistoryPathC2Ei","al::PoseHistoryPath::PoseHistoryPath(int)",false
"_ZN2al15PoseHistoryPath5clearEv","al::PoseHistoryPath::clear(void)",false
"_ZN2al15PoseHistoryPath10addHistoryERKN4sead4QuatIfEERKNS1_7Vector3IfEEf","al::PoseHistoryPath::addHistory(sead::Quat<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al15PoseHistoryPath10addHistoryERKN4sead4QuatIfEERKNS1_7Vector3IfEEPKcf","al::PoseHistoryPath::addHistory(sead::Quat<float> const&,sead::Vector3<float> const&,char const*,float)",false
"_ZN4sead10RingBufferIN2al15PoseHistoryPath8PoseInfoEE13forcePushBackERKS3_","sead::RingBuffer<al::PoseHistoryPath::PoseInfo>::forcePushBack(al::PoseHistoryPath::PoseInfo const&)",false
"_ZNK2al15PoseHistoryPath16calcPoseAndTransEPN4sead4QuatIfEEPNS1_7Vector3IfEEf","al::PoseHistoryPath::calcPoseAndTrans(sead::Quat<float> *,sead::Vector3<float> *,float)const",false
"_ZNK2al15PoseHistoryPath16calcPoseAndTransEPN4sead4QuatIfEEPNS1_7Vector3IfEEPPKcf","al::PoseHistoryPath::calcPoseAndTrans(sead::Quat<float> *,sead::Vector3<float> *,char const**,float)const",false
